Tariff Item,Harmonized System (HS) Heading,Indicative Description,code    subgroup,,stage
8301.50.00,"Padlocks and locks (key, combination or electrically operated), of base metal; clasps and frames with clasps, incorporating locks, of base metal; keys for any of the foregoing articles, of base metal.","Clasps and frames with clasps, incorporating locks",830150,00,1
8302.50.00,"Base metal mountings, fittings and similar articles suitable for furniture, doors, staircases, windows, blinds, coachwork, saddlery, trunks, chests, caskets or the like; base metal hat-racks, hat-pegs, brackets and similar fixtures; castors with mountings of base metal; automatic door closers of base metal.","Hat-racks, hat-pegs, brackets and similar fixtures",830250,00,1
8414.51.10,"Air or vacuum pumps, air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan, whether or not fitted with filters; gas-tight biological safety cabinets, whether or not fitted with filters.","Fans: Table, floor, wall, window, ceiling or roof fans, with a self-contained electric motor of an output not exceeding 125 W - Personal fans, mains powered; Table fans, single or variable speed, oscillating",841451,10,1
8414.51.90,"Air or vacuum pumps, air or other gas compressors and fans; ventilating or recycling hoods incorporating a fan, whether or not fitted with filters; gas-tight biological safety cabinets, whether or not fitted with filters.","Fans: Table, floor, wall, window, ceiling or roof fans, with a self-contained electric motor of an output not exceeding 125 W - Other",841451,90,1
8418.10.10,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Combined refrigerator-freezers, fitted with separate external doors or drawers, or combinations thereof - Absorption-type, combination gas and electric powered, designed for permanent installation in recreational vehicles and for use in the manufacture of such vehicles",841810,10,1
8418.10.20,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Combined refrigerator-freezers, fitted with separate external doors or drawers, or combinations thereof - Refrigerating-freezing type",841810,20,1
8418.10.90,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Combined refrigerator-freezers, fitted with separate external doors or drawers, or combinations thereof - Other",841810,90,1
8418.21.00,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Refrigerators, household type: Compression-type",841821,00,1
8418.29.00,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Refrigerators, household type: Other",841829,00,1
8418.30.10,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Freezers of the chest type, not exceeding 800 litres capacity - Household type",841830,10,1
8418.30.90,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Freezers of the chest type, not exceeding 800 litres capacity - Other",841830,90,1
8418.40.10,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Freezers of the upright type, not exceeding 900 litres capacity - Blood bank type; Household type; With minimum temperature capability to -85°C at 30°C ambient",841840,10,1
8418.40.90,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Freezers of the upright type, not exceeding 900 litres capacity - Other",841840,90,1
8418.50.10,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.","Other furniture (chests, cabinets, display counters, showcases and the like) for storage and display, incorporating refrigerating or freezing equipment - Refrigerating or refrigerating-freezing type",841850,10,1
8418.69.90,"Refrigerators, freezers and other refrigerating or freezing equipment, electric or other; heat pumps other than air conditioning machines of heading 84.15.",Other refrigerating or freezing equipment; heat pumps: Other - Other,841869,90,1
8419.81.00,"Machinery, plant or laboratory equipment, whether or not electrically heated (excluding furnaces, ovens and other equipment of heading 85.14), for the treatment of materials by a process involving a change of temperature such as heating, cooking, roasting, distilling, rectifying, sterilizing, pasteurizing, steaming, drying, evaporating, vaporizing, condensing or cooling, other than machinery or plant of a kind used for domestic purposes; instantaneous or storage water heaters, non-electric.","Other machinery, plant and equipment: For making hot drinks or for cooking or heating food",841981,00,1
8422.11.10,"Dish washing machines; machinery for cleaning or drying bottles or other containers; machinery for filling, closing, sealing, or labelling bottles, cans, boxes, bags or other containers; machinery for capsuling bottles, jars, tubes and similar containers; other packing or wrapping machinery (including heat-shrink wrapping machinery); machinery for aerating beverages.","Dish washing machines: Of the household type - Counter-top, electric; Portable, of a width not exceeding 46 cm",842211,10,1
8422.11.90,"Dish washing machines; machinery for cleaning or drying bottles or other containers; machinery for filling, closing, sealing, or labelling bottles, cans, boxes, bags or other containers; machinery for capsuling bottles, jars, tubes and similar containers; other packing or wrapping machinery (including heat-shrink wrapping machinery); machinery for aerating beverages.",Dish washing machines: Of the household type - Other,842211,90,1
8430.20.00,"Other moving, grading, levelling, scraping, excavating, tamping, compacting, extracting or boring machinery, for earth, minerals or ores; pile-drivers and pile-extractors; snow-ploughs and snow-blowers.",Snow-ploughs and snow-blowers,843020,00,1
8433.11.00,"Harvesting or threshing machinery, including straw or fodder balers; grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading 84.37.","Mowers for lawns, parks or sports-grounds: Powered, with the cutting device rotating in a horizontal plane",843311,00,1
8433.19.00,"Harvesting or threshing machinery, including straw or fodder balers; grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading 84.37.","Mowers for lawns, parks or sports-grounds: Other",843319,00,1
8433.20.00,"Harvesting or threshing machinery, including straw or fodder balers; grass or hay mowers; machines for cleaning, sorting or grading eggs, fruit or other agricultural produce, other than machinery of heading 84.37.","Other mowers, including cutter bars for tractor mounting",843320,00,1
8450.11.10,"Household or laundry-type washing machines, including machines which both wash and dry.","Machines, each of a dry linen capacity not exceeding 10 kg: Fully-automatic machines - Household type, not including machines which both wash and dry",845011,10,1
8450.11.90,"Household or laundry-type washing machines, including machines which both wash and dry.","Machines, each of a dry linen capacity not exceeding 10 kg: Fully-automatic machines - Other",845011,90,1
8450.12.00,"Household or laundry-type washing machines, including machines which both wash and dry.","Machines, each of a dry linen capacity not exceeding 10 kg: Other machines, with built-in centrifugal dryer",845012,00,1
8450.19.00,"Household or laundry-type washing machines, including machines which both wash and dry.","Machines, each of a dry linen capacity not exceeding 10 kg: Other",845019,00,1
8450.20.00,"Household or laundry-type washing machines, including machines which both wash and dry.","Machines, each of a dry linen capacity exceeding 10 kg",845020,00,1
8451.21.00,"Machinery (other than machines of heading 84.50) for washing, cleaning, wringing, drying, ironing, pressing (including fusing presses), bleaching, dyeing, dressing, finishing, coating or impregnating textile yarns, fabrics or made up textile articles and machines for applying the paste to the base fabric or other support used in the manufacture of floor coverings such as linoleum; machines for reeling, unreeling, folding, cutting or pinking textile fabrics.",Drying machines: Each of a dry linen capacity not exceeding 10 kg,845121,00,1
8451.29.00,"Machinery (other than machines of heading 84.50) for washing, cleaning, wringing, drying, ironing, pressing (including fusing presses), bleaching, dyeing, dressing, finishing, coating or impregnating textile yarns, fabrics or made up textile articles and machines for applying the paste to the base fabric or other support used in the manufacture of floor coverings such as linoleum; machines for reeling, unreeling, folding, cutting or pinking textile fabrics.",Drying machines: Other,845129,00,1
8467.11.00,"Tools for working in the hand, pneumatic, hydraulic or with self-contained electric or non-electric motor.",Pneumatic: Rotary type (including combined rotary-percussion),846711,00,1
8467.19.00,"Tools for working in the hand, pneumatic, hydraulic or with self-contained electric or non-electric motor.",Pneumatic: Other,846719,00,1
8467.21.00,"Tools for working in the hand, pneumatic, hydraulic or with self-contained electric or non-electric motor.",With self-contained electric motor: Drills of all kinds,846721,00,1
8467.22.00,"Tools for working in the hand, pneumatic, hydraulic or with self-contained electric or non-electric motor.",With self-contained electric motor: Saws,846722,00,1
8467.29.00,"Tools for working in the hand, pneumatic, hydraulic or with self-contained electric or non-electric motor.",With self-contained electric motor: Other,846729,00,1
8467.81.00,"Tools for working in the hand, pneumatic, hydraulic or with self-contained electric or non-electric motor.",Other tools: Chain saws,846781,00,1
8467.89.00,"Tools for working in the hand, pneumatic, hydraulic or with self-contained electric or non-electric motor.",Other tools: Other,846789,00,1
8508.11.00,Vacuum cleaners.,"With self-contained electric motor: Of a power not exceeding 1,500 W and having a dust bag or other receptacle capacity not exceeding 20 litres",850811,00,1
8508.19.00,Vacuum cleaners.,With self-contained electric motor: Other,850819,00,1
8508.60.00,Vacuum cleaners.,Other vacuum cleaners,850860,00,1
8509.40.10,"Electro-mechanical domestic appliances, with self-contained electric motor, other than vacuum cleaners of heading 85.08.",Food grinders and mixers; fruit or vegetable juice extractors - Grape crushers for domestic purposes,850940,10,1
8509.40.90,"Electro-mechanical domestic appliances, with self-contained electric motor, other than vacuum cleaners of heading 85.08.",Food grinders and mixers; fruit or vegetable juice extractors - Other,850940,90,1
8509.80.10,"Electro-mechanical domestic appliances, with self-contained electric motor, other than vacuum cleaners of heading 85.08.",Other appliances - Ultrasonic vaporizers,850980,10,1
8509.80.90,"Electro-mechanical domestic appliances, with self-contained electric motor, other than vacuum cleaners of heading 85.08.",Other appliances - Other,850980,90,1
8510.10.00,"Shavers, hair clippers and hair-removing appliances, with self-contained electric motor.",Shavers,851010,00,1
8510.20.10,"Shavers, hair clippers and hair-removing appliances, with self-contained electric motor.","Hair clippers - For cutting pet hair; Alternating current-powered, for cutting human hair",851020,10,1
8510.20.90,"Shavers, hair clippers and hair-removing appliances, with self-contained electric motor.",Hair clippers - Other,851020,90,1
8510.30.00,"Shavers, hair clippers and hair-removing appliances, with self-contained electric motor.",Hair-removing appliances,851030,00,1
8516.31.00,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Electro-thermic hair-dressing or hand-drying apparatus: Hair dryers,851631,00,1
8516.32.10,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Electro-thermic hair-dressing or hand-drying apparatus: Other hair-dressing apparatus - Curling irons,851632,10,1
8516.32.90,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Electro-thermic hair-dressing or hand-drying apparatus: Other hair-dressing apparatus - Other,851632,90,1
8516.33.10,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Electro-thermic hair-dressing or hand-drying apparatus: Hand-drying apparatus - Wall mounted,851633,10,1
8516.40.00,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Electric smoothing irons,851640,00,1
8516.50.00,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Microwave ovens,851650,00,1
8516.60.10,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.","Other ovens; cookers, cooking plates, boiling rings, grillers and roasters - Bread makers; Indoor smokeless barbecues; Rice cookers",851660,10,1
8516.60.20,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.","Other ovens; cookers, cooking plates, boiling rings, grillers and roasters - Ovens, cooking stoves and ranges",851660,20,1
8516.60.90,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.","Other ovens; cookers, cooking plates, boiling rings, grillers and roasters - Other",851660,90,1
8516.71.10,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Other electro-thermic appliances: Coffee or tea makers - Coffee makers,851671,10,1
8516.71.20,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Other electro-thermic appliances: Coffee or tea makers - Tea makers,851671,20,1
8516.72.10,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Other electro-thermic appliances: Toasters - Automatic,851672,10,1
8516.72.90,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Other electro-thermic appliances: Toasters - Other,851672,90,1
8516.79.10,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Other electro-thermic appliances: Other - Fabric steamers,851679,10,1
8516.79.90,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Other electro-thermic appliances: Other - Other,851679,90,1
8516.80.00,"Electric instantaneous or storage water heaters and immersion heaters; electric space heating apparatus and soil heating apparatus; electro-thermic hair-dressing apparatus (for example, hair dryers, hair curlers, curling tong heaters) and hand dryers; electric smoothing irons; other electro-thermic appliances of a kind used for domestic purposes; electric heating resistors, other than those of heading 85.45.",Electric heating resistors,851680,00,1
8543.40.00,"Electrical machines and apparatus, having individual functions, not specified or included elsewhere in this Chapter.",Electronic cigarettes and similar personal electric vaporising devices,854340,00,1
8711.10.00,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars.",With internal combustion piston engine of a cylinder capacity not exceeding 50 cc,871110,00,1
8711.20.00,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars.",With internal combustion piston engine of a cylinder capacity exceeding 50 cc but not exceeding 250 cc,871120,00,1
8711.30.00,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars.",With internal combustion piston engine of a cylinder capacity exceeding 250 cc but not exceeding 500 cc,871130,00,1
8711.40.00,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars.",With internal combustion piston engine of a cylinder capacity exceeding 500 cc but not exceeding 800 cc,871140,00,1
8711.50.00,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars.",With internal combustion piston engine of a cylinder capacity exceeding 800 cc,871150,00,1
8711.60.00,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars.",With electric motor for propulsion,871160,00,1
8711.90.00,"Motorcycles (including mopeds) and cycles fitted with an auxiliary motor, with or without side-cars; side-cars.",Other,871190,00,1
8806.10.00,Unmanned aircraft.,Designed for the carriage of passengers,880610,00,1
8806.21.00,Unmanned aircraft.,"Other, for remote-controlled flight only: With maximum take-off weight not more than 250 g",880621,00,1
8806.22.00,Unmanned aircraft.,"Other, for remote-controlled flight only: With maximum take-off weight more than 250 g but not more than 7 kg",880622,00,1
8806.23.00,Unmanned aircraft.,"Other, for remote-controlled flight only: With maximum take-off weight more than 7 kg but not more than 25 kg",880623,00,1
8806.24.00,Unmanned aircraft.,"Other, for remote-controlled flight only: With maximum take-off weight more than 25 kg but not more than 150 kg",880624,00,1
8806.29.00,Unmanned aircraft.,"Other, for remote-controlled flight only: Other",880629,00,1
8806.91.00,Unmanned aircraft.,Other: With maximum take-off weight not more than 250 g,880691,00,1
8806.92.00,Unmanned aircraft.,Other: With maximum take-off weight more than 250 g but not more than 7 kg,880692,00,1
8806.93.00,Unmanned aircraft.,Other: With maximum take-off weight more than 7 kg but not more than 25 kg,880693,00,1
8806.94.00,Unmanned aircraft.,Other: With maximum take-off weight more than 25 kg but not more than 150 kg,880694,00,1
8806.99.00,Unmanned aircraft.,Other: Other,880699,00,1
9302.00.00,"Revolvers and pistols, other than those of heading 93.03 or 93.04.",,930200,00,1
9303.10.00,"Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).",Muzzle-loading firearms,930310,00,1
9303.20.10,"Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).","Other sporting, hunting or target-shooting shotguns, including combination shotgun-rifles - Pump or slide-action shotguns",930320,10,1
9303.20.90,"Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).","Other sporting, hunting or target-shooting shotguns, including combination shotgun-rifles - Other",930320,90,1
9303.30.10,"Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).","Other sporting, hunting or target-shooting rifles - Bolt-action or semi-automatic .22 calibre rimfire rifles, excluding target shooting rifles",930330,10,1
9303.30.90,"Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).","Other sporting, hunting or target-shooting rifles - Other",930330,90,1
9303.90.10,"Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).",Other - Apparatus for the destruction of predatory animals by the discharge of poisonous cartridges; Automatic explosive bird-scaring devices,930390,10,1
9303.90.90,"Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shotguns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns).",Other - Other,930390,90,1
9304.00.10,"Other arms (for example, spring, air or gas guns and pistols, truncheons), excluding those of heading 93.07.","Guns and pistols, spring or gas",930400,10,1
9304.00.90,"Other arms (for example, spring, air or gas guns and pistols, truncheons), excluding those of heading 93.07.",Other,930400,90,1
9306.21.00,"Bombs, grenades, torpedoes, mines, missiles and similar munitions of war and parts thereof; cartridges and other ammunition and projectiles and parts thereof, including shot and cartridge wads.",Shotgun cartridges and parts thereof; air gun pellets: Cartridges,930621,00,1
9306.29.00,"Bombs, grenades, torpedoes, mines, missiles and similar munitions of war and parts thereof; cartridges and other ammunition and projectiles and parts thereof, including shot and cartridge wads.",Shotgun cartridges and parts thereof; air gun pellets: Other,930629,00,1
9306.30.10,"Bombs, grenades, torpedoes, mines, missiles and similar munitions of war and parts thereof; cartridges and other ammunition and projectiles and parts thereof, including shot and cartridge wads.","Other cartridges and parts thereof - Poisonous cartridges for apparatus for the destruction of predatory animals; Starter cartridges and parts thereof, for diesel or semi-diesel engines; Twin-shot cartridges designed for bird-scaring devices",930630,10,1
9306.30.90,"Bombs, grenades, torpedoes, mines, missiles and similar munitions of war and parts thereof; cartridges and other ammunition and projectiles and parts thereof, including shot and cartridge wads.",Other cartridges and parts thereof - Other,930630,90,1
9401.31.10,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.",Swivel seats with variable height adjustment: Of wood - For domestic purposes,940131,10,1
9401.31.90,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.",Swivel seats with variable height adjustment: Of wood - Other,940131,90,1
9401.39.10,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.",Swivel seats with variable height adjustment: Other - For domestic purposes,940139,10,1
9401.39.90,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.",Swivel seats with variable height adjustment: Other - Other,940139,90,1
9401.41.00,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Seats other than garden seats or camping equipment, convertible into beds: Of wood",940141,00,1
9401.49.00,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Seats other than garden seats or camping equipment, convertible into beds: Other",940149,00,1
9401.52.10,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Seats of cane, osier, bamboo or similar materials: Of bamboo - Unfinished and unassembled, for use in the manufacture of furniture of bamboo",940152,10,1
9401.52.90,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Seats of cane, osier, bamboo or similar materials: Of bamboo - Other",940152,90,1
9401.53.10,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Seats of cane, osier, bamboo or similar materials: Of rattan - Unfinished and unassembled, for use in the manufacture of furniture of rattan",940153,10,1
9401.53.90,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Seats of cane, osier, bamboo or similar materials: Of rattan - Other",940153,90,1
9401.59.10,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Seats of cane, osier, bamboo or similar materials: Other - Unfinished and unassembled, for use in the manufacture of furniture of bamboo or rattan",940159,10,1
9401.59.90,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Seats of cane, osier, bamboo or similar materials: Other - Other",940159,90,1
9401.61.10,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Other seats, with wooden frames: Upholstered - For domestic purposes",940161,10,1
9401.61.90,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Other seats, with wooden frames: Upholstered - Other",940161,90,1
9401.69.10,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Other seats, with wooden frames: Other - For domestic purposes",940169,10,1
9401.69.90,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Other seats, with wooden frames: Other - Other",940169,90,1
9401.71.10,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Other seats, with metal frames: Upholstered - For domestic purposes",940171,10,1
9401.71.90,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Other seats, with metal frames: Upholstered - Other",940171,90,1
9401.79.10,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Other seats, with metal frames: Other - For domestic purposes",940179,10,1
9401.79.90,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.","Other seats, with metal frames: Other - Other",940179,90,1
9401.80.10,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.",Other seats - For domestic purposes,940180,10,1
9401.80.90,"Seats (other than those of heading 94.02), whether or not convertible into beds, and parts thereof.",Other seats - Other,940180,90,1
9403.10.00,Other furniture and parts thereof.,Metal furniture of a kind used in offices,940310,00,1
9403.20.00,Other furniture and parts thereof.,Other metal furniture,940320,00,1
9403.30.00,Other furniture and parts thereof.,Wooden furniture of a kind used in offices,940330,00,1
9403.40.00,Other furniture and parts thereof.,Wooden furniture of a kind used in the kitchen,940340,00,1
9403.50.00,Other furniture and parts thereof.,Wooden furniture of a kind used in the bedroom,940350,00,1
9403.60.10,Other furniture and parts thereof.,Other wooden furniture - For domestic purposes,940360,10,1
9403.60.90,Other furniture and parts thereof.,Other wooden furniture - Other,940360,90,1
9403.70.10,Other furniture and parts thereof.,Furniture of plastics - For domestic purposes,940370,10,1
9403.70.90,Other furniture and parts thereof.,Furniture of plastics - Other,940370,90,1
9403.82.11,Other furniture and parts thereof.,"Furniture of other materials, including cane, osier, bamboo or similar materials: Of bamboo - For domestic purposes: Unfinished and unassembled, for use in the manufacture of furniture of bamboo",940382,11,1
9403.82.19,Other furniture and parts thereof.,"Furniture of other materials, including cane, osier, bamboo or similar materials: Of bamboo - For domestic purposes: Other",940382,19,1
9403.82.90,Other furniture and parts thereof.,"Furniture of other materials, including cane, osier, bamboo or similar materials: Of bamboo - Other",940382,90,1
9403.83.11,Other furniture and parts thereof.,"Furniture of other materials, including cane, osier, bamboo or similar materials: Of rattan - For domestic purposes: Unfinished and unassembled, for use in the manufacture of furniture of rattan",940383,11,1
9403.83.19,Other furniture and parts thereof.,"Furniture of other materials, including cane, osier, bamboo or similar materials: Of rattan - For domestic purposes: Other",940383,19,1
9403.83.90,Other furniture and parts thereof.,"Furniture of other materials, including cane, osier, bamboo or similar materials: Of rattan - Other",940383,90,1
9403.89.11,Other furniture and parts thereof.,"Furniture of other materials, including cane, osier, bamboo or similar materials: Other - For domestic purposes: Unfinished and unassembled, for use in the manufacture of furniture of bamboo or rattan",940389,11,1
9403.89.19,Other furniture and parts thereof.,"Furniture of other materials, including cane, osier, bamboo or similar materials: Other - For domestic purposes: Other",940389,19,1
9403.89.90,Other furniture and parts thereof.,"Furniture of other materials, including cane, osier, bamboo or similar materials: Other - Other",940389,90,1
9404.10.00,"Mattress supports; articles of bedding and similar furnishing (for example, mattresses, quilts, eiderdowns, cushions, pouffes and pillows) fitted with springs or stuffed or internally fitted with any material or of cellular rubber or plastics, whether or not covered.",Mattress supports,940410,00,1
9404.21.00,"Mattress supports; articles of bedding and similar furnishing (for example, mattresses, quilts, eiderdowns, cushions, pouffes and pillows) fitted with springs or stuffed or internally fitted with any material or of cellular rubber or plastics, whether or not covered.","Mattresses: Of cellular rubber or plastics, whether or not covered",940421,00,1
9404.29.00,"Mattress supports; articles of bedding and similar furnishing (for example, mattresses, quilts, eiderdowns, cushions, pouffes and pillows) fitted with springs or stuffed or internally fitted with any material or of cellular rubber or plastics, whether or not covered.",Mattresses: Of other materials,940429,00,1
9404.40.00,"Mattress supports; articles of bedding and similar furnishing (for example, mattresses, quilts, eiderdowns, cushions, pouffes and pillows) fitted with springs or stuffed or internally fitted with any material or of cellular rubber or plastics, whether or not covered.","Quilts, bedspreads, eiderdowns and duvets (comforters)",940440,00,1
